signal,timestamp,value,unit,quality,can_id,channel
Vehicle_Speed,2026-07-10T10:09:39.948374+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:40.006384+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:40.008892+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:40.064933+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:40.068480+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:40.125716+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:40.130321+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:40.184923+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:40.200061+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:40.246614+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:40.248815+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:40.307582+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:40.310115+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:40.368040+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:40.370452+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:40.425123+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:40.428635+00:00,0.0,km/h,good,0x51,CAN1
